Time(s)	TrafficType	Size(Bytes)	numb_flow
1.40014	ftp	536	1
1.40486	ftp	536	1
1.40632	video	128	1
1.40756	gaming	101	1
1.41228	ftp	536	1
1.417	ftp	536	1
1.42172	ftp	536	1
1.42253	video	48	1
1.42336	video	49	1
1.42427	video	60	1
1.42519	video	61	1
1.42991	ftp	536	1
1.43463	ftp	536	1
1.43546	video	50	1
1.43643	video	67	1
1.43719	video	41	1
1.44191	ftp	536	1
1.44663	ftp	536	1
1.44812	video	132	1
1.45284	ftp	536	1
1.45756	ftp	536	1
1.45999	video	250	1
1.46243	gaming	251	1
1.46399	gaming	141	2
1.46871	ftp	536	1
1.47343	ftp	536	1
1.47422	video	45	1
1.47665	video	250	1
1.4774	video	40	1
1.47816	video	40	1
1.48288	ftp	536	1
1.4876	ftp	536	1
1.48844	video	51	1
1.48933	video	58	1
1.49176	video	250	1
1.49648	ftp	536	1
1.5012	ftp	536	1
1.50228	video	81	1
1.507	ftp	536	1
1.51172	ftp	536	1
1.51283	gaming	84	2
1.51463	gaming	171	1
1.51935	ftp	536	1
1.52407	ftp	536	1
1.52879	ftp	536	1
1.53351	ftp	536	1
1.53406	voip	15	1
1.53461	voip	15	2
1.53933	ftp	536	1
1.54405	ftp	536	1
1.54877	ftp	536	1
1.55349	ftp	536	1
1.55821	ftp	536	1
1.56293	ftp	536	1
1.56765	ftp	536	1
1.56902	gaming	117	1
1.57374	ftp	536	1
1.57846	ftp	536	1
1.5799	gaming	126	2
1.58462	ftp	536	1
1.58934	ftp	536	1
1.59406	ftp	536	1
1.59878	ftp	536	1
1.60121	video	250	1
1.60308	video	179	1
1.6078	ftp	536	1
1.61252	ftp	536	1
1.61331	video	45	1
1.61457	video	104	1
1.61929	ftp	536	1
1.62401	ftp	536	1
1.62505	video	76	1
1.6268	gaming	165	1
1.6276	video	46	1
1.63232	ftp	536	1
1.63704	ftp	536	1
1.63792	video	56	1
1.6387	video	43	1
1.64095	gaming	227	2
1.6422	video	102	1
1.64692	ftp	536	1
1.65164	ftp	536	1
1.65407	video	250	1
1.65482	video	40	1
1.65954	ftp	536	1
1.66426	ftp	536	1
1.66898	ftp	536	1
1.67141	video	250	1
1.67232	video	60	1
1.67704	ftp	536	1
1.68176	ftp	536	1
1.68289	video	87	1
1.68761	ftp	536	1
1.69233	ftp	536	1
1.69339	video	78	1
1.69415	video	41	1
1.69887	ftp	536	1
1.70359	ftp	536	1
1.70555	gaming	191	2
1.70756	gaming	197	1
1.70866	video	84	1
1.71338	ftp	536	1
1.7181	ftp	536	1
1.71889	video	45	1
1.71944	voip	15	1
1.72	voip	15	2
1.7208	video	46	1
1.72167	video	55	1
1.72639	ftp	536	1
1.73111	ftp	536	1
1.73583	ftp	536	1
1.74055	ftp	536	1
1.74164	gaming	82	2
1.74636	ftp	536	1
1.75108	ftp	536	1
1.75244	gaming	117	1
1.75716	ftp	536	1
1.76188	ftp	536	1
1.7666	ftp	536	1
1.77132	ftp	536	1
1.77604	ftp	536	1
1.78076	ftp	536	1
1.78548	ftp	536	1
1.7902	ftp	536	1
1.79492	ftp	536	1
1.79694	gaming	198	2
1.80166	ftp	536	1
1.80638	ftp	536	1
1.8084	gaming	198	1
1.81312	ftp	536	1
1.81784	ftp	536	1
1.82027	video	250	1
1.82113	video	54	1
1.82585	ftp	536	1
1.83057	ftp	536	1
1.83148	video	59	1
1.83248	video	72	1
1.83335	video	54	1
1.83807	ftp	536	1
1.84279	ftp	536	1
1.84409	video	109	1
1.84881	ftp	536	1
1.85353	ftp	536	1
1.85433	video	46	1
1.85511	video	43	1
1.85648	gaming	118	2
1.85737	video	57	1
1.86209	ftp	536	1
1.86681	ftp	536	1
1.86844	video	149	1
1.86921	video	43	1
1.8714	gaming	219	1
1.87248	video	82	1
1.8772	ftp	536	1
1.88192	ftp	536	1
1.88345	video	137	1
1.884	voip	15	1
1.88476	voip	40	2
1.88561	video	53	1
1.88686	video	102	1
1.89158	ftp	536	1
1.8963	ftp	536	1
1.89873	video	250	1
1.90345	ftp	536	1
1.90817	ftp	536	1
1.91289	ftp	536	1
1.91364	voip	40	2
1.91448	video	51	1
1.91662	gaming	213	2
1.91905	video	250	1
1.92377	ftp	536	1
1.92849	ftp	536	1
1.93013	gaming	151	1
1.93112	video	70	1
1.93584	ftp	536	1
1.94056	ftp	536	1
1.94176	video	95	1
1.94251	voip	40	2
1.94723	ftp	536	1
1.95195	ftp	536	1
1.95667	ftp	536	1
1.96139	ftp	536	1
1.96214	voip	40	2
1.96686	ftp	536	1
1.97158	ftp	536	1
1.97274	gaming	91	2
1.97746	ftp	536	1
1.98218	ftp	536	1
1.98354	gaming	116	1
1.98429	voip	40	2
1.98901	ftp	536	1
1.99373	ftp	536	1
1.99845	ftp	536	1
2.00317	ftp	536	1
2.00789	ftp	536	1
2.01261	ftp	536	1
2.01336	voip	40	2
2.01808	ftp	536	1
2.0228	ftp	536	1
2.02752	ftp	536	1
2.03224	ftp	536	1
2.03696	ftp	536	1
2.03818	gaming	98	2
2.03911	video	62	1
2.03999	video	56	1
2.04074	voip	40	2
2.04546	ftp	536	1
2.05018	ftp	536	1
2.05288	gaming	283	1
2.05343	voip	15	1
2.05586	video	250	1
2.06058	ftp	536	1
2.0653	ftp	536	1
2.06711	video	172	1
2.07183	ftp	536	1
2.07655	ftp	536	1
2.0773	voip	40	2
2.07973	video	250	1
2.08072	video	69	1
2.08544	ftp	536	1
2.09016	ftp	536	1
2.09094	video	44	1
2.09307	video	212	1
2.09779	ftp	536	1
2.10251	ftp	536	1
2.1037	video	95	1
2.10452	video	48	1
2.10571	gaming	95	1
2.10673	video	74	1
2.10833	gaming	146	2
2.10908	voip	40	2
2.11074	video	153	1
2.11546	ftp	536	1
2.12018	ftp	536	1
2.12109	video	60	1
2.12581	ftp	536	1
2.13053	ftp	536	1
2.13132	video	44	1
2.13222	video	59	1
2.13297	voip	40	2
2.13769	ftp	536	1
2.14241	ftp	536	1
2.14416	video	164	1
2.14491	video	40	1
2.14584	video	62	1
2.1466	video	41	1
2.15132	ftp	536	1
2.15604	ftp	536	1
2.16076	ftp	536	1
2.16156	video	46	1
2.16231	voip	40	2
2.16392	gaming	147	1
2.16576	gaming	176	2
2.17048	ftp	536	1
2.1752	ftp	536	1
2.17992	ftp	536	1
2.18464	ftp	536	1
2.18539	voip	40	2
2.19011	ftp	536	1
2.19483	ftp	536	1
2.19955	ftp	536	1
2.20427	ftp	536	1
2.20502	voip	40	2
2.20974	ftp	536	1
2.21446	ftp	536	1
2.21501	voip	15	1
2.21715	gaming	213	1
2.21863	gaming	131	2
2.22335	ftp	536	1
2.22807	ftp	536	1
2.23279	ftp	536	1
2.23751	ftp	536	1
2.23826	voip	40	2
2.24298	ftp	536	1
2.2477	ftp	536	1
2.25013	video	250	1
2.25485	ftp	536	1
2.25957	ftp	536	1
2.26032	video	40	1
2.26108	voip	40	2
2.26236	video	107	1
2.2634	video	76	1
2.26812	ftp	536	1
2.27284	ftp	536	1
2.27756	ftp	536	1
2.27832	video	40	1
2.27961	gaming	108	2
2.28433	ftp	536	1
2.28905	ftp	536	1
2.28997	gaming	61	1
2.29083	video	53	1
2.29555	ftp	536	1
2.30027	ftp	536	1
2.30161	video	114	1
2.30236	voip	40	2
2.30444	video	205	1
2.30916	ftp	536	1
2.31388	ftp	536	1
2.31487	video	70	1
2.31959	ftp	536	1
2.32431	ftp	536	1
2.32528	video	67	1
2.32612	video	52	1
2.32688	voip	40	2
2.3316	ftp	536	1
2.33632	ftp	536	1
2.33761	video	108	1
2.33973	video	211	1
2.34052	video	44	1
2.34524	ftp	536	1
2.34996	ftp	536	1
2.35181	gaming	178	1
2.3526	video	45	1
2.35422	gaming	148	2
2.35665	video	250	1
2.3574	voip	40	2
2.36212	ftp	536	1
2.36684	ftp	536	1
2.36769	video	52	1
2.37241	ftp	536	1
2.37713	ftp	536	1
2.37802	video	57	1
2.37877	voip	40	2
2.38349	ftp	536	1
2.38821	ftp	536	1
2.38876	voip	15	1
2.39024	video	131	1
2.39237	video	212	1
2.39353	gaming	91	1
2.39825	ftp	536	1
2.40297	ftp	536	1
2.40769	ftp	536	1
2.40844	voip	40	2
2.41316	ftp	536	1
2.41788	ftp	536	1
2.41916	gaming	106	2
2.42388	ftp	536	1
2.4286	ftp	536	1
2.42936	voip	40	2
2.43408	ftp	536	1
2.4388	ftp	536	1
2.44352	ftp	536	1
2.44824	ftp	536	1
2.44946	gaming	99	1
2.45021	voip	40	2
2.45493	ftp	536	1
2.45965	ftp	536	1
2.46072	gaming	79	2
2.46544	ftp	536	1
2.47016	ftp	536	1
2.47488	ftp	536	1
2.4796	ftp	536	1
2.48035	voip	40	2
2.48507	ftp	536	1
2.48979	ftp	536	1
2.4915	video	160	1
2.49227	video	42	1
2.49699	ftp	536	1
2.50171	ftp	536	1
2.503	gaming	107	1
2.504	video	72	1
2.50476	voip	40	2
2.50661	video	178	1
2.51133	ftp	536	1
2.51605	ftp	536	1
2.52077	ftp	536	1
2.52212	gaming	114	2
2.52292	video	47	1
2.52764	ftp	536	1
2.53236	ftp	536	1
2.5348	video	250	1
2.53952	ftp	536	1
2.54424	ftp	536	1
2.54667	video	250	1
2.54742	voip	40	2
2.55214	ftp	536	1
2.55686	ftp	536	1
2.55785	video	70	1
2.5584	voip	15	1
2.55926	video	53	1
2.56002	video	41	1
2.56474	ftp	536	1
2.56946	ftp	536	1
2.57021	voip	40	2
2.57097	video	41	1
2.5723	video	112	1
2.57354	gaming	101	2
2.5743	video	41	1
2.57902	ftp	536	1
2.58374	ftp	536	1
2.58471	video	67	1
2.58612	gaming	123	1
2.59084	ftp	536	1
2.59556	ftp	536	1
2.59665	video	82	1
2.5974	voip	40	2
2.5998	video	245	1
2.60135	video	140	1
2.60212	video	42	1
2.60684	ftp	536	1
2.61156	ftp	536	1
2.61628	ftp	536	1
2.621	ftp	536	1
2.6219	video	59	1
2.62266	video	41	1
2.62341	voip	40	2
2.62503	gaming	148	2
2.62975	ftp	536	1
2.63447	ftp	536	1
2.63574	gaming	105	1
2.64046	ftp	536	1
2.64518	ftp	536	1
2.6499	ftp	536	1
2.65065	voip	40	2
2.65537	ftp	536	1
2.66009	ftp	536	1
2.66481	ftp	536	1
2.66953	ftp	536	1
2.67028	voip	40	2
2.675	ftp	536	1
2.67972	ftp	536	1
2.68103	gaming	109	1
2.68575	ftp	536	1
2.69047	ftp	536	1
2.69168	gaming	97	2
2.6964	ftp	536	1
2.70112	ftp	536	1
2.70187	voip	40	2
2.70659	ftp	536	1
2.71131	ftp	536	1
2.71186	voip	15	1
2.71261	video	40	1
2.71733	ftp	536	1
2.72205	ftp	536	1
2.72354	video	132	1
2.72436	video	48	1
2.72511	voip	40	2
2.726	video	57	1
2.73072	ftp	536	1
2.73544	ftp	536	1
2.7362	video	42	1
2.74092	ftp	536	1
2.74564	ftp	536	1
2.747	gaming	115	1
2.74832	video	111	1
2.75304	ftp	536	1
2.75776	ftp	536	1
2.76248	ftp	536	1
2.76323	voip	40	2
2.7642	video	68	1
2.76516	video	65	1
2.7661	video	64	1
2.76697	video	55	1
2.76855	gaming	143	2
2.77327	ftp	536	1
2.77402	voip	40	2
2.77482	video	46	1
2.7758	video	68	1
2.77748	video	156	1
2.77896	video	131	1
2.77978	video	49	1
2.7845	ftp	536	1
2.78922	ftp	536	1
2.79394	ftp	536	1
2.79496	video	73	1
2.79576	video	47	1
2.79664	video	56	1
2.7974	voip	40	2
2.79872	video	111	1
2.80024	gaming	137	1
2.80101	video	42	1
2.80573	ftp	536	1
2.81045	ftp	536	1
2.8112	voip	40	2
2.81333	gaming	212	2
2.81805	ftp	536	1
2.82277	ftp	536	1
2.82749	ftp	536	1
2.83221	ftp	536	1
2.83693	ftp	536	1
2.84165	ftp	536	1
2.84637	ftp	536	1
2.85109	ftp	536	1
2.85184	voip	40	2
2.85656	ftp	536	1
2.86128	ftp	536	1
2.866	ftp	536	1
2.8672	gaming	96	1
2.87192	ftp	536	1
2.87664	ftp	536	1
2.88136	ftp	536	1
2.88608	ftp	536	1
2.88664	voip	15	1
2.89136	ftp	536	1
2.89608	ftp	536	1
2.89683	voip	40	2
2.89814	gaming	110	2
2.90286	ftp	536	1
2.90758	ftp	536	1
2.9123	ftp	536	1
2.91702	ftp	536	1
2.91876	gaming	163	1
2.91951	voip	40	2
2.92083	video	111	1
2.92158	video	40	1
2.9263	ftp	536	1
2.93102	ftp	536	1
2.93298	video	191	1
2.9348	video	174	1
2.93952	ftp	536	1
2.94424	ftp	536	1
2.94519	video	64	1
2.94594	voip	40	2
2.94934	gaming	371	2
2.95406	ftp	536	1
2.95878	ftp	536	1
2.95964	video	54	1
2.96436	ftp	536	1
2.96908	ftp	536	1
2.9702	video	86	1
2.97122	video	73	1
2.97204	video	49	1
2.97676	ftp	536	1
2.98148	ftp	536	1
2.9862	ftp	536	1
2.98696	voip	40	2
2.98827	gaming	110	1
2.98943	video	91	1
2.99111	video	156	1
2.99312	gaming	198	2
2.99424	video	85	1
2.995	video	42	1
2.99654	video	138	1
2.99773	video	95	1
2.99895	video	98	1
2.99975	video	46	1
3.00447	ftp	536	1
3.00919	ftp	536	1
3.01391	ftp	536	1
3.01466	voip	40	2
3.01541	voip	40	2
3.01621	video	46	1
3.01744	video	99	1
3.01799	voip	15	1
3.01943	video	126	1
3.02061	gaming	94	1
3.02136	voip	40	2
3.02284	gaming	131	2
3.02756	ftp	536	1
3.03228	ftp	536	1
3.037	ftp	536	1
3.04172	ftp	536	1
3.04644	ftp	536	1
3.05116	ftp	536	1
3.05588	ftp	536	1
3.0606	ftp	536	1
3.06532	ftp	536	1
3.07004	ftp	536	1
3.07476	ftp	536	1
3.07948	ftp	536	1
3.08024	voip	40	2
3.08496	ftp	536	1
3.08968	ftp	536	1
3.0944	ftp	536	1
3.09912	ftp	536	1
3.10384	ftp	536	1
3.10532	gaming	131	1
3.10607	voip	40	2
3.11079	ftp	536	1
3.11551	ftp	536	1
3.11726	gaming	165	2
3.12198	ftp	536	1
3.1267	ftp	536	1
3.13142	ftp	536	1
3.13219	video	42	1
3.13691	ftp	536	1
3.14163	ftp	536	1
3.1424	video	42	1
3.14315	voip	40	2
3.144	video	52	1
3.14872	ftp	536	1
3.15344	ftp	536	1
3.15468	video	102	1
3.15544	video	40	1
3.15621	video	43	1
3.15764	video	125	1
3.15863	video	69	1
3.16106	video	250	1
3.16181	voip	40	2
3.16359	gaming	168	2
3.16831	ftp	536	1
3.17074	video	250	1
3.17317	video	250	1
3.17496	gaming	170	1
3.17572	voip	40	2
3.18044	ftp	536	1
3.18516	ftp	536	1
3.18988	ftp	536	1
3.19077	video	58	1
3.19132	voip	15	1
3.19208	voip	40	2
3.19355	gaming	130	2
3.19491	video	116	1
3.19656	video	153	1
3.199	video	250	1
3.20004	video	76	1
3.20104	video	71	1
3.20307	video	200	1
3.20437	video	109	1
3.20516	video	44	1
3.20988	ftp	536	1
3.2146	ftp	536	1
3.21535	voip	40	2
3.22007	ftp	536	1
3.22479	ftp	536	1
3.22628	gaming	133	1
3.231	ftp	536	1
3.23572	ftp	536	1
3.23648	voip	40	2
3.2412	ftp	536	1
3.24592	ftp	536	1
3.25064	ftp	536	1
3.25536	ftp	536	1
3.26628	gaming	132	2
3.27176	voip	40	2
3.31591	gaming	155	1
3.3261	voip	40	2
3.33797	video	250	1
3.33896	video	70	1
3.34974	gaming	113	2
3.35049	voip	40	2
3.35157	video	81	1
3.36204	video	74	1
3.36308	video	77	1
3.37964	video	245	1
3.38064	video	71	1
3.38139	video	40	1
3.38217	video	44	1
3.38272	voip	15	1
3.38348	voip	40	2
3.3852	gaming	162	1
3.38656	gaming	116	2
3.40156	video	51	1
3.40259	video	74	1
3.40417	video	144	1
3.4066	video	250	1
3.40768	video	80	1
3.4086	video	62	1
3.40936	voip	40	2
3.41011	voip	40	2
3.41137	gaming	104	1
3.42324	video	250	1
3.42416	video	61	1
3.42492	voip	40	2
3.42607	gaming	90	2
3.42793	video	179	1
3.42868	video	40	1
3.42946	video	43	1
3.45424	gaming	94	1
3.45972	voip	40	2
3.50827	gaming	115	2
3.50902	voip	40	2
3.53317	voip	15	1
3.53392	voip	40	2
3.54449	gaming	87	1
3.56546	video	207	1
3.56621	voip	40	2
3.57803	video	243	1
3.58507	gaming	236	2
3.58592	video	52	1
3.58693	video	73	1
3.58768	voip	40	2
3.58929	gaming	147	1
3.59172	video	250	1
3.59251	video	44	1
3.5934	video	57	1
3.59447	video	80	1
3.59544	video	67	1
3.59623	video	45	1
3.59866	video	250	1
3.6081	ftp	24120	1
3.60905	gaming	65	2
3.6098	voip	40	2
3.61056	voip	40	2
3.612	gaming	127	1
3.61281	video	47	1
3.61362	video	47	1
3.61545	video	175	1
3.61633	video	56	1
3.61848	video	214	1
3.61952	video	77	1
3.62031	video	44	1
3.62106	voip	40	2
3.62319	video	212	1
3.62907	video	91	1
3.65342	voip	40	2
3.65475	gaming	112	1
3.66002	voip	15	1
3.67135	gaming	182	2
3.70042	voip	40	2
3.70589	voip	40	2
3.71252	gaming	185	2
3.72356	gaming	145	1
3.72431	voip	40	2
3.72979	video	41	1
3.73106	video	105	1
3.73659	video	47	1
3.73754	video	65	1
3.73832	video	44	1
3.7486	video	51	1
3.74936	voip	40	2
3.75522	video	89	1
3.76107	gaming	87	2
3.76659	video	46	1
3.76902	video	250	1
3.77477	video	75	1
3.77552	voip	40	2
3.77796	video	250	1
3.77877	video	48	1
3.77971	video	63	1
3.78664	video	222	1
3.78832	gaming	157	1
3.78959	video	104	1
3.79431	ftp	23584	1
3.79508	video	43	1
3.79588	video	45	1
3.8006	ftp	536	1
3.80135	voip	40	2
3.80234	video	70	1
3.80328	video	63	1
3.80421	video	63	1
3.80476	voip	15	1
3.80948	ftp	536	1
3.8142	ftp	536	1
3.81496	voip	40	2
3.81968	ftp	536	1
3.82128	gaming	146	2
3.826	ftp	536	1
3.83072	ftp	536	1
3.83544	ftp	536	1
3.84016	ftp	536	1
3.84488	ftp	536	1
3.8496	ftp	536	1
3.85035	voip	40	2
3.8515	gaming	90	1
3.85622	ftp	536	1
3.86094	ftp	536	1
3.86169	voip	40	2
3.86365	gaming	191	2
3.86837	ftp	536	1
3.87309	ftp	536	1
3.87781	ftp	536	1
3.87856	voip	40	2
3.88328	ftp	536	1
3.88458	video	108	1
3.8893	ftp	536	1
3.89092	gaming	149	1
3.89564	ftp	536	1
3.89656	video	61	1
3.90128	ftp	536	1
3.90206	video	43	1
3.90678	ftp	536	1
3.90756	video	43	1
3.90831	voip	40	2
3.91303	ftp	536	1
3.9146	gaming	143	2
3.91932	ftp	536	1
3.92014	video	48	1
3.92486	ftp	536	1
3.92568	video	49	1
3.9304	ftp	536	1
3.93156	video	90	1
3.93628	ftp	536	1
3.93703	voip	40	2
3.94175	ftp	536	1
3.94256	video	47	1
3.94728	ftp	536	1
3.94783	voip	15	1
3.94863	video	46	1
3.95335	ftp	536	1
3.95416	video	48	1
3.95572	gaming	141	1
3.96044	ftp	536	1
3.96516	ftp	536	1
3.96597	video	47	1
3.96672	voip	40	2
3.9682	video	130	1
3.97292	ftp	536	1
3.97764	ftp	536	1
3.97928	gaming	151	2
3.98015	video	55	1
3.98487	ftp	536	1
3.98574	video	55	1
3.98681	video	80	1
3.99153	ftp	536	1
3.99243	video	58	1
3.99318	voip	40	2
3.9979	ftp	536	1
4.00033	video	250	1
4.00505	ftp	536	1
4.00596	video	60	1
4.01068	ftp	536	1
4.01144	video	41	1
4.01221	video	42	1
4.01693	ftp	536	1
4.01796	gaming	74	1
4.01871	voip	40	2
4.02343	ftp	536	1
4.02507	gaming	151	2
4.02979	ftp	536	1
4.03451	ftp	536	1
4.03923	ftp	536	1
4.03998	voip	40	2
4.0447	ftp	536	1
4.04942	ftp	536	1
4.05414	ftp	536	1
4.05886	ftp	536	1
4.05961	voip	40	2
4.06091	gaming	108	1
4.06563	ftp	536	1
4.07035	ftp	536	1
4.07507	ftp	536	1
4.07979	ftp	536	1
4.08451	ftp	536	1
4.08923	ftp	536	1
4.08998	voip	40	2
4.09157	gaming	145	2
4.09629	ftp	536	1
4.10101	ftp	536	1
4.10176	voip	40	1
4.1042	video	250	1
4.1052	video	71	1
4.10992	ftp	536	1
4.11464	ftp	536	1
4.11585	gaming	98	1
4.1166	voip	40	2
4.1179	video	108	1
4.12262	ftp	536	1
