Time(s)	TrafficType	Size(Bytes)
1.49156	video	81	
1.49628	ftp	536	
1.501	ftp	536	
1.50572	ftp	536	
1.51044	ftp	536	
1.51224	gaming	171	
1.51696	ftp	536	
1.52168	ftp	536	
1.5264	ftp	536	
1.53112	ftp	536	
1.53584	ftp	536	
1.5364	voip	15	
1.54112	ftp	536	
1.54584	ftp	536	
1.55056	ftp	536	
1.55528	ftp	536	
1.56	ftp	536	
1.56472	ftp	536	
1.56608	gaming	117	
1.5708	ftp	536	
1.57552	ftp	536	
1.58024	ftp	536	
1.58496	ftp	536	
1.58968	ftp	536	
1.5944	ftp	536	
1.59684	video	250	
1.5987	video	179	
1.60342	ftp	536	
1.60814	ftp	536	
1.60893	video	45	
1.6102	video	104	
1.61124	video	76	
1.61596	ftp	536	
1.62068	ftp	536	
1.62243	gaming	165	
1.62323	video	46	
1.62411	video	56	
1.62883	ftp	536	
1.63355	ftp	536	
1.63827	ftp	536	
1.63904	video	43	
1.64029	video	102	
1.64501	ftp	536	
1.64973	ftp	536	
1.65216	video	250	
1.65292	video	40	
1.65764	ftp	536	
1.66236	ftp	536	
1.66479	video	250	
1.6657	video	60	
1.67042	ftp	536	
1.67514	ftp	536	
1.67627	video	87	
1.67732	video	78	
1.68204	ftp	536	
1.68676	ftp	536	
1.68752	video	41	
1.69224	ftp	536	
1.69696	ftp	536	
1.69897	gaming	197	
1.70008	video	84	
1.70087	video	45	
1.70142	voip	15	
1.70222	video	46	
1.70694	ftp	536	
1.71166	ftp	536	
1.71253	video	55	
1.71725	ftp	536	
1.72197	ftp	536	
1.72669	ftp	536	
1.73141	ftp	536	
1.73613	ftp	536	
1.74085	ftp	536	
1.74222	gaming	117	
1.74694	ftp	536	
1.75166	ftp	536	
1.75638	ftp	536	
1.7611	ftp	536	
1.76582	ftp	536	
1.77054	ftp	536	
1.77526	ftp	536	
1.77998	ftp	536	
1.7847	ftp	536	
1.78942	ftp	536	
1.79414	ftp	536	
1.79616	gaming	198	
1.80088	ftp	536	
1.8056	ftp	536	
1.80803	video	250	
1.81275	ftp	536	
1.81747	ftp	536	
1.81833	video	54	
1.81924	video	59	
1.82024	video	72	
1.82496	ftp	536	
1.82968	ftp	536	
1.83055	video	54	
1.83527	ftp	536	
1.83999	ftp	536	
