Time(s)	TrafficType	Size(Bytes)
35.0727	video	250	
35.0735	voip	40	
35.0758	video	227	
35.0798	video	240	
35.0813	video	51	
35.0846	video	82	
35.0982	voip	40	
35.101	gaming	85	
35.1244	voip	40	
35.1507	voip	40	
35.1561	gaming	227	
35.1769	voip	40	
35.186	video	250	
35.1888	video	82	
35.1931	video	250	
35.1956	video	91	
35.1999	video	72	
35.2031	voip	40	
35.2044	gaming	110	
35.2122	video	43	
35.2202	video	250	
35.2256	video	40	
35.2283	video	40	
35.2294	voip	40	
35.2408	video	42	
35.2452	video	250	
35.2498	video	48	
35.2556	voip	40	
35.2574	gaming	138	
35.2586	video	96	
35.2691	video	250	
35.2707	video	61	
35.2818	voip	40	
35.2831	video	46	
35.2857	video	58	
35.2981	video	41	
35.3065	video	67	
35.308	voip	40	
35.3131	gaming	101	
35.3139	video	48	
35.3343	voip	40	
35.3605	voip	40	
35.3679	gaming	202	
35.3867	voip	40	
35.413	voip	40	
35.4154	video	250	
35.4168	video	74	
35.4194	video	84	
35.4316	video	41	
35.4345	video	40	
35.4401	gaming	226	
35.4408	voip	40	
35.4419	video	84	
35.4445	video	75	
35.4505	video	43	
35.4558	video	108	
35.4608	video	250	
35.4628	video	54	
35.4654	video	71	
35.4662	voip	40	
35.4727	video	41	
35.4781	video	161	
35.4896	video	40	
35.4916	voip	40	
35.5018	gaming	184	
35.5026	video	55	
35.505	video	75	
35.5073	video	41	
35.5165	video	234	
35.5179	voip	40	
35.5188	video	55	
35.5441	voip	40	
35.5624	gaming	140	
35.5703	voip	40	
35.5966	voip	40	
35.6184	gaming	136	
35.6192	video	47	
35.6213	video	50	
35.6228	voip	40	
35.6247	video	49	
35.6295	video	98	
35.6349	video	250	
35.6371	video	86	
35.6406	video	82	
35.6448	video	122	
35.6492	video	76	
35.65	voip	40	
35.6532	video	93	
35.6555	video	58	
35.6599	video	98	
35.6653	video	250	
35.6679	video	250	
35.6694	gaming	131	
35.6716	video	223	
35.6745	video	171	
35.6753	voip	40	
35.6877	video	250	
35.6978	video	67	
35.7011	video	78	
35.7018	voip	40	
35.705	video	56	
35.7208	gaming	68	
35.7277	voip	40	
35.7539	voip	40	
35.7802	voip	40	
35.7877	gaming	179	
35.8066	video	250	
35.8073	voip	40	
35.8091	video	53	
35.812	video	66	
35.8189	video	122	
35.8225	video	250	
35.8249	video	112	
35.8276	video	79	
35.832	video	56	
35.8328	voip	40	
35.8445	video	50	
35.8478	video	50	
35.8535	gaming	280	
35.8546	video	86	
35.8589	voip	40	
35.8607	video	46	
35.864	video	121	
35.8693	video	55	
35.8817	video	43	
35.8844	video	57	
35.8852	voip	40	
35.8879	video	121	
35.8972	video	67	
35.9001	video	40	
35.9027	gaming	180	
35.9049	video	132	
35.9113	voip	40	
35.9376	voip	40	
35.9541	gaming	96	
35.9638	voip	40	
35.99	voip	40	
36.0043	video	50	
36.0092	gaming	109	
36.0099	video	40	
36.0114	video	50	
36.0162	voip	40	
36.0238	video	75	
36.0266	video	43	
36.0379	video	85	
36.0425	voip	40	
36.0476	video	82	
36.0598	video	50	
36.0629	video	50	
36.066	video	53	
36.0687	voip	40	
36.0712	gaming	119	
36.0728	video	51	
36.0802	video	112	
36.0923	video	58	
36.0949	voip	40	
36.1047	video	41	
36.1074	video	52	
36.1141	video	65	
36.1165	video	45	
36.119	gaming	91	
36.1212	voip	40	
36.129	video	46	
36.1332	video	72	
36.1388	video	68	
36.1474	voip	40	
36.1736	voip	40	
36.1784	gaming	143	
36.1998	voip	40	
36.2261	voip	40	
36.2333	gaming	123	
36.2392	video	122	
36.2438	video	119	
36.2523	voip	40	
36.2559	video	72	
36.2616	video	234	
36.2635	video	89	
36.2664	video	99	
36.2696	video	87	
36.2785	voip	40	
36.2833	video	234	
36.2868	gaming	194	
36.29	video	250	
36.2968	video	164	
36.3048	voip	40	
36.3085	video	60	
36.3117	video	47	
36.3149	video	106	
36.3286	video	250	
36.3303	video	53	
36.3311	voip	40	
36.3391	video	72	
36.3421	gaming	96	
36.344	video	185	
36.3459	video	41	
36.3517	video	60	
36.3574	video	250	
36.3581	voip	40	
36.3835	voip	40	
36.4097	voip	40	
36.4121	gaming	105	
36.4359	voip	40	
36.456	video	79	
36.4598	video	92	
36.4621	voip	40	
36.4668	video	80	
36.4687	gaming	188	
36.4713	video	250	
36.477	video	66	
36.4884	voip	40	
36.4899	video	120	
36.498	video	250	
36.5016	video	142	
36.5054	video	74	
36.508	video	65	
36.5117	video	50	
36.5146	voip	40	
36.5244	video	69	
36.5298	gaming	189	
36.5363	video	78	
36.5408	voip	40	
36.5487	video	79	
36.5534	video	215	
36.5573	video	52	
36.5671	voip	40	
36.5697	video	41	
36.5726	video	46	
36.5761	gaming	107	
36.5777	video	44	
36.5806	video	40	
36.5933	voip	40	
36.6195	voip	40	
36.6367	gaming	180	
36.6457	voip	40	
36.672	voip	40	
36.6806	video	41	
36.6846	video	187	
36.6865	video	52	
36.6881	gaming	98	
36.6911	video	70	
36.6982	voip	40	
36.7034	video	46	
36.7079	video	44	
36.7165	video	43	
36.7244	voip	40	
36.7293	video	84	
36.733	video	43	
36.7369	video	157	
36.7433	gaming	131	
36.7486	video	54	
36.7507	voip	40	
36.7613	video	80	
36.7666	video	54	
36.7716	video	180	
36.7738	video	41	
36.7769	voip	40	
36.7786	video	157	
36.783	video	55	
36.796	gaming	209	
36.7983	video	236	
36.8006	video	63	
36.8031	voip	40	
36.8045	video	124	
36.8294	voip	40	
36.8502	gaming	234	
36.8556	voip	40	
36.8818	voip	40	
36.9041	video	142	
36.908	voip	40	
36.9104	gaming	141	
36.9175	video	250	
36.9232	video	159	
36.9261	video	119	
36.9302	video	160	
36.9337	video	250	
36.9345	voip	40	
36.9354	video	59	
36.9391	video	53	
36.9439	video	62	
36.9517	video	73	
36.957	video	52	
36.9605	voip	40	
36.9614	video	60	
36.9648	gaming	188	
36.9655	video	41	
36.967	video	125	
36.9694	video	43	
36.9735	video	88	
36.9816	video	47	
36.9848	video	50	
36.9867	voip	40	
36.9949	video	48	
36.998	video	64	
37.013	voip	40	
37.0307	gaming	174	
37.0392	voip	40	
37.0654	voip	40	
37.0853	gaming	124	
37.0916	voip	40	
37.0985	video	117	
37.1047	video	44	
37.1172	video	40	
37.1179	voip	40	
37.1235	video	250	
37.1267	video	250	
37.1341	video	250	
37.1441	voip	40	
37.1453	video	88	
37.1482	video	60	
37.1597	gaming	176	
37.1623	video	250	
37.1641	video	44	
37.1703	voip	40	
37.1726	video	91	
37.1767	video	169	
37.181	video	50	
37.184	video	54	
37.1908	video	63	
37.1966	voip	40	
37.1974	video	54	
37.2093	video	45	
37.2161	gaming	96	
37.2218	video	41	
37.2228	voip	40	
37.2272	video	100	
37.2295	video	45	
37.249	voip	40	
37.2669	gaming	81	
37.2753	voip	40	
37.3015	voip	40	
37.3165	gaming	157	
37.3277	voip	40	
37.3296	video	63	
37.3392	video	46	
37.3447	video	40	
37.3521	video	139	
37.3539	voip	40	
37.3636	video	48	
37.3736	gaming	164	
37.3761	video	41	
37.3802	voip	40	
37.3827	video	91	
37.3909	video	147	
37.3938	video	66	
37.3974	video	85	
37.4001	video	50	
37.4033	video	134	
37.4064	voip	40	
37.4081	video	66	
37.4113	video	51	
37.4178	video	58	
37.4196	gaming	159	
37.4305	video	77	
37.4326	voip	40	
37.4429	video	62	
37.4552	video	250	
37.4589	voip	40	
37.4677	video	250	
37.4701	video	180	
37.475	gaming	88	
37.4851	voip	40	
37.5113	voip	40	
37.527	gaming	94	
37.5376	voip	40	
37.5638	voip	40	
37.5701	video	181	
37.5723	video	49	
37.5761	video	50	
37.5811	video	104	
37.5834	gaming	235	
37.5895	video	50	
37.5902	voip	40	
37.5926	video	125	
37.5954	video	43	
37.6042	video	65	
37.6162	voip	40	
37.6173	video	75	
37.6214	video	250	
37.624	video	130	
37.632	video	72	
37.6352	video	43	
37.6378	video	45	
37.6392	gaming	109	
37.6425	voip	40	
37.6437	video	105	
37.6558	video	67	
37.6681	video	250	
37.6688	voip	40	
37.6698	video	68	
37.6725	video	47	
37.6794	video	104	
37.6939	gaming	76	
37.6949	voip	40	
37.7212	voip	40	
37.7464	gaming	139	
37.7474	voip	40	
37.7736	voip	40	
37.7792	video	82	
37.7821	video	58	
37.7888	video	55	
37.7945	video	65	
37.7993	gaming	125	
37.8	voip	40	
37.807	video	69	
37.8119	video	119	
37.8143	video	89	
37.8174	video	43	
37.8218	video	74	
37.826	video	132	
37.8268	voip	40	
37.8281	video	51	
37.8321	video	120	
37.8392	video	250	
37.8437	video	90	
37.8497	video	57	
37.8523	voip	40	
37.8548	video	65	
37.8584	gaming	140	
37.8598	video	123	
37.8618	video	117	
37.8754	video	250	
37.8789	video	176	
37.8796	voip	40	
37.9048	voip	40	
37.931	voip	40	
37.9355	gaming	275	
37.9572	voip	40	
37.9778	video	41	
37.9835	voip	40	
37.9845	video	80	
37.9882	gaming	112	
37.9916	video	94	
37.9944	video	92	
37.9985	video	50	
38.0097	voip	40	
38.0112	video	75	
38.0158	video	95	
38.0206	video	111	
38.0256	video	165	
38.0276	video	51	
38.0322	video	43	
38.0359	voip	40	
38.037	video	47	
38.0404	video	45	
38.0424	gaming	142	
38.0477	video	56	
38.0602	video	62	
38.0621	voip	40	
38.0634	video	46	
38.0742	video	116	
38.0764	video	52	
38.0796	video	108	
38.0887	video	161	
38.0894	voip	40	
38.0959	gaming	77	
38.1146	voip	40	
38.1408	voip	40	
38.1568	gaming	184	
38.1671	voip	40	
38.1894	video	250	
38.1908	video	111	
38.1931	video	80	
38.1939	voip	40	
38.1963	video	62	
38.2029	video	172	
38.2074	video	213	
38.2134	video	100	
38.2165	video	79	
38.2193	gaming	132	
38.2203	video	61	
38.221	voip	40	
38.2241	video	250	
38.2253	video	40	
38.2285	video	61	
38.2338	video	227	
38.2398	video	194	
38.2436	video	250	
38.2457	voip	40	
38.2549	video	97	
38.2607	video	72	
38.2698	video	43	
38.2726	gaming	160	
38.2733	voip	40	
38.2743	video	69	
38.2776	video	250	
38.2982	voip	40	
38.3213	gaming	124	
38.3244	voip	40	
38.3507	voip	40	
38.3766	video	123	
38.3774	voip	40	
38.3835	video	250	
38.3873	gaming	129	
38.3944	video	53	
38.4001	video	44	
38.4031	voip	40	
38.4082	video	62	
38.4109	video	77	
38.4238	video	250	
38.4263	video	48	
38.4307	video	244	
38.4315	voip	40	
38.4418	video	67	
38.4453	gaming	126	
38.4482	video	91	
38.4522	video	53	
38.4555	video	71	
38.4563	voip	40	
38.4679	video	64	
38.4708	video	96	
38.4734	video	53	
38.4818	voip	40	
38.486	video	55	
38.4984	video	43	
38.5029	video	40	
38.5068	video	96	
38.508	voip	40	
38.5183	gaming	133	
38.5343	voip	40	
38.5605	voip	40	
38.5739	gaming	79	
38.5867	voip	40	
38.6064	video	43	
38.613	voip	40	
38.6145	video	40	
38.6275	video	107	
38.6289	gaming	120	
38.6392	voip	40	
38.6403	video	83	
38.6528	video	135	
38.6557	video	76	
38.6592	video	62	
38.6654	voip	40	
38.6715	video	42	
38.6769	video	250	
38.6786	video	67	
38.6811	video	53	
38.6838	video	69	
38.6853	gaming	132	
38.6916	voip	40	
38.6978	video	250	
38.7012	video	41	
38.7073	video	46	
38.71	video	58	
38.7135	video	80	
38.7179	voip	40	
38.7199	video	75	
38.732	video	75	
38.7355	video	57	
38.7401	gaming	106	
38.7441	voip	40	
38.7703	voip	40	
38.7965	gaming	151	
38.7972	voip	40	
38.8226	voip	15	
38.8369	video	228	
38.8427	video	40	
38.8465	video	172	
38.8498	video	124	
38.8517	gaming	181	
38.8613	video	83	
38.8751	video	250	
38.8831	video	124	
38.895	video	41	
38.9045	gaming	158	
38.9055	video	66	
38.9188	video	198	
38.9235	video	128	
38.9265	video	130	
38.9308	video	250	
38.9383	video	79	
38.9424	video	179	
38.9474	video	78	
38.9527	video	109	
38.9624	ftp	536	
38.9671	ftp	536	
38.9718	ftp	536	
38.9765	ftp	536	
38.9813	ftp	536	
38.986	ftp	536	
38.9907	ftp	536	
38.9954	ftp	536	
39.0001	ftp	536	
39.0049	ftp	536	
39.0096	ftp	536	
39.0143	ftp	536	
39.019	ftp	536	
39.0237	ftp	536	
39.0285	ftp	536	
39.0332	ftp	536	
39.0379	ftp	536	
39.0426	ftp	536	
39.0473	ftp	536	
39.0521	ftp	536	
39.0568	ftp	536	
39.0615	ftp	536	
39.0662	ftp	536	
39.0709	ftp	536	
39.0757	ftp	536	
39.0804	ftp	536	
39.0851	ftp	536	
39.0898	ftp	536	
39.0945	ftp	536	
39.0993	ftp	536	
39.104	ftp	536	
39.1087	ftp	536	
39.1134	ftp	536	
39.1181	ftp	536	
39.1229	ftp	536	
39.1276	ftp	536	
39.1323	ftp	536	
39.137	ftp	536	
39.1417	ftp	536	
39.1465	ftp	536	
39.1512	ftp	536	
39.1559	ftp	536	
39.1606	ftp	536	
39.1653	ftp	536	
39.1701	ftp	536	
39.1748	ftp	536	
39.1795	ftp	536	
39.1842	ftp	536	
39.1889	ftp	536	
39.1937	ftp	536	
39.1953	gaming	156	
39.1962	video	51	
39.2009	ftp	536	
39.2056	ftp	536	
39.2103	ftp	536	
39.2115	video	88	
39.2123	video	49	
39.217	ftp	536	
39.2217	ftp	536	
39.2265	ftp	536	
39.227	voip	15	
39.2317	ftp	536	
39.2365	ftp	536	
39.2412	ftp	536	
39.2459	ftp	536	
39.2506	ftp	536	
39.2553	ftp	536	
39.2601	ftp	536	
39.2648	ftp	536	
39.2695	ftp	536	
39.2717	gaming	225	
39.2764	ftp	536	
39.2812	ftp	536	
39.2859	ftp	536	
39.2906	ftp	536	
39.2953	ftp	536	
39.3	ftp	536	
39.3048	ftp	536	
39.3095	ftp	536	
39.3142	ftp	536	
39.3189	ftp	536	
39.3236	ftp	536	
39.3284	ftp	536	
39.3331	ftp	536	
39.3378	ftp	536	
39.3425	ftp	536	
39.3446	gaming	203	
39.3493	ftp	536	
39.354	ftp	536	
39.3587	ftp	536	
39.3635	ftp	536	
39.3682	ftp	536	
39.3729	ftp	536	
39.3737	video	48	
39.3745	video	50	
39.3759	video	113	
39.3806	ftp	536	
39.3853	ftp	536	
39.39	ftp	536	
39.3908	video	42	
39.3916	video	41	
39.3963	ftp	536	
39.401	ftp	536	
39.4057	ftp	536	
39.4066	video	50	
39.409	video	250	
39.4137	ftp	536	
39.4184	ftp	536	
39.4232	ftp	536	
39.4243	video	84	
39.429	ftp	536	
39.4337	ftp	536	
39.4384	ftp	536	
39.4392	video	42	
39.4407	video	136	
39.4454	ftp	536	
39.4501	ftp	536	
39.4549	ftp	536	
39.457	gaming	212	
39.4579	video	58	
39.4626	ftp	536	
39.4673	ftp	536	
39.4721	ftp	536	
39.473	video	65	
39.4777	ftp	536	
39.4824	ftp	536	
39.4872	ftp	536	
39.4877	voip	15	
39.4885	video	40	
39.4932	ftp	536	
39.4979	ftp	536	
39.5026	ftp	536	
39.5051	video	250	
39.5098	ftp	536	
39.5145	ftp	536	
39.5192	ftp	536	
39.52	video	40	
39.5213	video	111	
39.526	ftp	536	
39.5307	ftp	536	
39.5355	ftp	536	
39.5363	video	53	
39.541	ftp	536	
39.5457	ftp	536	
39.5505	ftp	536	
39.5515	video	70	
39.5526	video	88	
39.5573	ftp	536	
39.562	ftp	536	
39.5632	gaming	97	
39.568	ftp	536	
39.5688	video	49	
39.5735	ftp	536	
39.5782	ftp	536	
39.5829	ftp	536	
39.5877	ftp	536	
39.5924	ftp	536	
39.5971	ftp	536	
39.6018	ftp	536	
39.6065	ftp	536	
39.6113	ftp	536	
39.616	ftp	536	
39.6207	ftp	536	
39.6254	ftp	536	
39.6301	ftp	536	
39.6349	ftp	536	
39.6362	gaming	117	
39.641	ftp	536	
39.6457	ftp	536	
39.6504	ftp	536	
39.6551	ftp	536	
39.6598	ftp	536	
39.6646	ftp	536	
39.6693	ftp	536	
39.674	ftp	536	
39.6787	ftp	536	
39.6798	video	78	
39.6845	ftp	536	
39.6852	voip	40	
39.6871	gaming	172	
39.6918	ftp	536	
39.693	video	95	
39.6954	video	250	
39.6971	video	153	
39.6995	video	250	
39.7019	video	250	
39.7029	video	73	
39.7037	voip	40	
39.7084	ftp	536	
39.7131	ftp	536	
39.7139	voip	40	
39.7164	gaming	259	
39.7171	video	41	
39.7196	video	250	
39.7215	video	193	
39.724	video	250	
39.7248	video	43	
39.7257	video	63	
39.7272	video	132	
39.7296	video	250	
39.7304	voip	40	
39.7454	video	57	
39.7462	video	43	
39.7469	voip	40	
39.748	video	80	
39.7495	gaming	133	
39.7513	video	174	
39.7522	video	56	
39.7624	voip	40	
39.7962	voip	40	
39.8205	voip	40	
39.8355	video	47	
39.8368	video	104	
39.8485	video	229	
39.8501	video	154	
39.8509	video	41	
39.8529	gaming	190	
39.8536	voip	40	
39.8591	video	47	
39.86	video	58	
39.8614	video	114	
39.8624	video	79	
39.8632	voip	40	
39.8736	video	70	
39.8747	video	78	
39.8802	voip	40	
39.8818	gaming	149	
39.8828	video	77	
39.8885	video	65	
39.894	voip	40	
39.8949	video	60	
39.8959	video	79	
39.8968	video	57	
39.8977	video	50	
39.8996	video	190	
39.9007	video	80	
39.9031	gaming	243	
39.9041	video	69	
39.9048	voip	40	
39.915	voip	40	
39.9346	voip	40	
39.9501	gaming	115	
39.9745	voip	40	
40.0272	voip	40	
40.0377	video	89	
40.048	video	47	
40.0489	video	61	
40.0513	video	250	
40.0534	gaming	208	
40.0636	voip	40	
40.0648	video	95	
40.0711	video	144	
40.083	video	250	
40.0838	video	44	
40.0846	video	47	
40.0853	voip	40	
40.0866	video	108	
40.0874	video	43	
40.0883	video	50	
40.0893	video	83	
40.0903	video	62	
40.0911	video	49	
40.092	video	56	
40.0932	gaming	102	
40.1034	voip	40	
40.1042	video	43	
40.1049	voip	40	
40.106	video	72	
40.1068	video	48	
40.1077	video	56	
40.1367	voip	40	
40.171	gaming	105	
40.1812	voip	40	
40.2575	voip	40	
40.2683	video	111	
40.2691	video	56	
40.2746	voip	40	
40.2758	gaming	91	
40.2767	video	57	
40.2869	video	44	
40.2881	video	93	
40.2888	voip	40	
40.2897	video	56	
40.2905	video	46	
40.2919	video	124	
40.2976	video	69	
40.2984	video	46	
40.2997	video	107	
40.3013	video	146	
40.3021	video	47	
40.3035	video	122	
40.3051	video	142	
40.3075	video	250	
40.3083	video	46	
40.3092	video	54	
40.3108	gaming	148	
40.3163	voip	40	
40.317	voip	40	
40.3178	voip	40	
40.3186	video	44	
40.321	video	250	
40.3414	gaming	139	
40.3422	voip	40	
40.3563	ftp	10720	
40.4043	voip	40	
40.409	ftp	2680	
40.4232	ftp	3216	
40.4373	ftp	1608	
40.442	ftp	5360	
40.4625	gaming	140	
40.4632	voip	40	
40.4876	voip	40	
40.4884	video	44	
40.4892	video	51	
40.4994	video	40	
40.5007	video	114	
40.5015	voip	40	
40.5033	gaming	171	
40.5094	video	117	
40.5196	voip	40	
40.5213	video	161	
40.5221	video	51	
40.5293	video	250	
40.5301	video	45	
40.5308	voip	40	
40.5322	gaming	117	
40.5381	video	90	
40.5405	video	250	
40.5417	video	92	
40.5425	video	46	
40.5432	video	41	
40.544	voip	40	
40.545	video	71	
40.5458	video	47	
40.5558	voip	15	
40.5613	video	41	
40.5671	gaming	86	
40.5783	video	160	
40.6168	video	41	
40.627	video	47	
40.6903	gaming	189	
40.7435	gaming	98	
40.7546	video	164	
40.7618	video	250	
40.772	video	46	
40.7729	video	58	
40.7735	voip	15	
40.7799	gaming	162	
40.7809	video	67	
40.782	video	83	
40.7829	video	63	
40.7982	video	90	
40.7992	video	62	
40.8	video	54	
40.8008	video	41	
40.8018	video	70	
40.8042	video	245	
40.8192	video	50	
40.8202	gaming	80	
40.8353	video	60	
40.8371	video	164	
40.8442	video	250	
40.8546	video	67	
40.8743	video	40	
40.8767	video	250	
40.9294	gaming	48	
40.9583	voip	15	
40.9744	gaming	185	
41.0038	video	82	
41.0142	video	71	
41.0214	video	250	
41.0238	video	250	
41.025	gaming	102	
41.0356	video	81	
41.038	video	250	
41.0388	video	49	
41.04	video	93	
41.0408	video	42	
41.0427	video	189	
41.0577	video	46	
41.0586	video	58	
41.061	video	250	
41.0619	video	53	
41.0639	gaming	198	
41.0646	video	42	
41.0654	video	41	
41.0678	video	250	
41.0701	video	230	
41.0707	voip	15	
41.081	video	58	
41.0817	video	40	
41.1164	gaming	153	
41.1833	video	44	
41.1892	video	92	
41.19	video	47	
41.2016	gaming	212	
41.2024	video	53	
41.2049	video	250	
41.206	video	86	
41.207	video	73	
41.2081	video	90	
41.209	video	58	
41.2098	video	41	
41.2106	video	52	
41.2115	video	55	
41.2219	video	63	
41.2228	video	65	
41.2242	video	112	
41.2267	gaming	262	
41.2325	video	79	
41.233	voip	15	
41.2355	video	250	
41.2363	video	54	
41.2388	video	250	
41.2409	video	216	
41.2663	gaming	169	
41.3272	gaming	162	
41.3376	video	58	
41.348	video	71	
41.3488	video	41	
41.35	video	99	
41.3508	video	45	
41.3707	video	80	
41.3766	video	88	
41.4009	video	42	
41.4015	voip	15	
41.4028	gaming	109	
41.4089	video	113	
41.4146	video	79	
41.4251	video	76	
41.4259	video	41	
41.433	video	250	
41.4339	video	49	
41.4347	video	51	
41.4501	gaming	101	
41.4525	video	250	
41.4534	video	55	
41.4557	video	229	
41.4567	video	76	
41.4583	video	149	
41.479	gaming	168	
41.5563	gaming	168	
41.5568	voip	15	
41.5581	video	100	
41.5652	video	250	
41.5708	video	59	
41.5719	video	72	
41.5821	video	46	
41.5932	video	157	
41.5947	gaming	133	
41.5961	video	121	
41.6111	video	44	
41.6223	video	170	
41.6235	video	97	
41.6291	video	52	
41.6373	video	73	
41.6383	video	62	
41.6394	video	81	
41.6417	gaming	234	
41.6427	video	78	
41.6437	video	63	
41.6447	video	77	
41.6494	ftp	13936	
41.6503	video	58	
41.6511	video	42	
41.6524	video	110	
41.6529	voip	15	
41.6541	gaming	93	
41.6555	gaming	119	
41.6564	video	57	
41.6573	video	61	
41.6585	video	91	
41.6595	video	70	
41.6603	video	56	
41.6628	video	250	
41.6636	video	53	
41.6645	video	51	
41.6653	video	46	
41.6676	video	238	
41.6695	gaming	185	
41.672	video	250	
41.6727	video	44	
41.6737	video	65	
41.6761	video	250	
41.6771	video	70	
41.6777	voip	15	
41.6784	video	42	
41.6793	video	60	
41.6802	video	52	
41.6812	video	68	
41.682	video	50	
41.684	gaming	199	
41.6853	gaming	108	
41.69	ftp	117112	
41.6948	ftp	536	
41.6995	ftp	536	
41.7042	ftp	536	
41.7089	ftp	536	
41.7136	ftp	536	
41.7184	ftp	536	
41.7231	ftp	536	
41.7278	ftp	536	
41.7325	ftp	536	
41.7372	ftp	536	
41.742	ftp	536	
41.7467	ftp	536	
41.7514	ftp	536	
41.7561	ftp	536	
41.7608	ftp	536	
41.7656	ftp	536	
41.7703	ftp	536	
41.775	ftp	536	
41.7797	ftp	536	
41.7844	ftp	536	
41.7892	ftp	536	
41.7939	ftp	536	
41.7986	ftp	536	
41.8033	ftp	536	
41.808	ftp	536	
41.8119	ftp	424	
41.8129	video	76	
41.8139	video	66	
41.8163	video	250	
41.8187	video	250	
41.8235	ftp	536	
41.8244	video	65	
41.8291	ftp	536	
41.8338	ftp	536	
41.8386	ftp	536	
41.8433	ftp	536	
41.8446	gaming	116	
41.8494	ftp	536	
41.8541	ftp	536	
41.8588	ftp	536	
41.8635	ftp	536	
41.8641	voip	15	
41.8665	video	250	
41.8673	video	40	
41.8686	video	111	
41.8733	ftp	536	
41.878	ftp	536	
41.8827	ftp	536	
41.8875	ftp	536	
41.8883	video	45	
41.8903	video	199	
41.895	ftp	536	
41.8997	ftp	536	
41.9044	ftp	536	
41.9092	ftp	536	
41.9139	ftp	536	
41.9186	ftp	536	
41.9233	ftp	536	
41.928	ftp	536	
41.9299	video	180	
41.9307	video	41	
41.9354	ftp	536	
41.9401	ftp	536	
41.9448	ftp	536	
41.9495	ftp	536	
41.9506	video	79	
41.9517	video	82	
41.9564	ftp	536	
41.9611	ftp	536	
41.9659	ftp	536	
41.9706	ftp	536	
41.9724	gaming	169	
41.9741	video	161	
41.9749	video	49	
41.976	video	81	
41.9807	ftp	536	
41.9854	ftp	536	
41.9901	ftp	536	
41.9949	ftp	536	
41.9957	video	47	
41.9965	video	43	
42.0012	ftp	536	
42.0059	ftp	536	
42.0106	ftp	536	
42.0153	ftp	536	
42.0167	video	114	
42.0214	ftp	536	
42.0261	ftp	536	
42.0308	ftp	536	
42.0356	ftp	536	
42.0403	ftp	536	
42.045	ftp	536	
42.0497	ftp	536	
42.0544	ftp	536	
42.0592	ftp	536	
42.0639	ftp	536	
42.0686	ftp	536	
42.0733	ftp	536	
42.0753	gaming	194	
42.08	ftp	536	
42.0847	ftp	536	
42.0895	ftp	536	
42.0942	ftp	536	
42.0989	ftp	536	
42.1036	ftp	536	
42.1083	ftp	536	
42.1131	ftp	536	
42.1178	ftp	536	
42.1225	ftp	536	
42.1272	ftp	536	
42.1319	ftp	536	
42.1367	ftp	536	
42.1414	ftp	536	
42.1461	ftp	536	
42.1508	ftp	536	
42.1555	ftp	536	
42.1603	ftp	536	
42.165	ftp	536	
42.1663	gaming	107	
42.1668	voip	15	
42.1715	ftp	536	
42.1763	ftp	536	
42.181	ftp	536	
42.1857	ftp	536	
42.1875	video	173	
42.1884	video	57	
42.1908	video	250	
42.1917	video	55	
42.1964	ftp	536	
42.2011	ftp	536	
42.2026	video	131	
42.2073	ftp	536	
42.2121	ftp	536	
42.2168	ftp	536	
42.2176	video	42	
42.2223	ftp	536	
42.227	ftp	536	
42.2279	video	57	
42.2326	ftp	536	
42.2373	ftp	536	
42.239	gaming	156	
42.2407	video	160	
42.2454	ftp	536	
42.2502	ftp	536	
42.2526	video	250	
42.2573	ftp	536	
42.262	ftp	536	
42.2628	video	43	
42.2642	video	116	
42.265	video	46	
42.2697	ftp	536	
42.2744	ftp	536	
42.2758	video	115	
42.2771	video	111	
42.2782	video	90	
42.2829	ftp	536	
42.2877	ftp	536	
42.2886	video	66	
42.2933	ftp	536	
42.2981	ftp	536	
42.2988	video	43	
42.3003	gaming	127	
42.305	ftp	536	
42.3097	ftp	536	
42.3109	video	94	
42.3126	video	151	
42.3136	video	71	
42.3183	ftp	536	
42.323	ftp	536	
42.3277	ftp	536	
42.3324	ftp	536	
42.3372	ftp	536	
42.3419	ftp	536	
42.3466	ftp	536	
42.3513	ftp	536	
42.356	ftp	536	
42.3566	voip	15	
42.358	gaming	124	
42.3627	ftp	536	
42.3675	ftp	536	
42.3722	ftp	536	
42.3769	ftp	536	
42.3816	ftp	536	
42.3863	ftp	536	
42.3911	ftp	536	
42.3958	ftp	536	
42.4005	ftp	536	
42.4052	ftp	536	
42.4099	ftp	536	
42.4147	ftp	536	
42.417	gaming	238	
42.4217	ftp	536	
42.4264	ftp	536	
42.4284	video	190	
42.4292	video	51	
42.43	video	44	
42.4347	ftp	536	
42.4394	ftp	536	
42.4442	ftp	536	
42.4466	video	250	
42.4479	video	109	
42.4526	ftp	536	
42.4573	ftp	536	
42.4584	video	78	
42.4631	ftp	536	
42.4678	ftp	536	
42.4688	video	65	
42.4712	video	250	
42.4759	ftp	536	
42.4807	ftp	536	
42.4816	video	67	
42.4863	ftp	536	
42.4911	ftp	536	
42.4921	video	75	
42.4939	gaming	171	
42.4986	ftp	536	
42.5033	ftp	536	
42.5041	video	42	
42.5049	video	51	
42.5097	ftp	536	
42.5144	ftp	536	
42.5154	video	70	
42.5201	ftp	536	
42.5248	ftp	536	
42.5264	video	143	
42.5311	ftp	536	
42.5358	ftp	536	
42.5364	voip	15	
42.5374	video	70	
42.5421	ftp	536	
42.5468	ftp	536	
42.5479	video	76	
42.5494	video	144	
